Country,State,Locality,Latitude,Longitude,Species,Nota
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Lestes alacer,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Paraphlebia hyalina,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia lugens,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia funcki,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia oenea,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia lacrymans,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia fissa,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia tarascana,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia extranea,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia vivida,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia plana,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Hesperagrion heterodoxum,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Apanisagrion lais,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Telebasis salva,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Ischnura denticollis,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Ischnura hastata,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Erpetogomphus elaps,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Erpetogomphus cophias,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Erpetogomphus crotalinus,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Erpetogomphus sipedon,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Cordulegaster diadema,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Rhionaeschna cornigera,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Rhionaeschna jalapensis,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Aeshna williamsoni,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Remartinia luteipennis,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Oplonaeschna armata,
